ID	Class	ENSG00000101363	ENSG00000204310	ENSG00000138642	ENSG00000182621	ENSG00000107643	ENSG00000138801	ENSG00000168283	ENSG00000142541	ENSG00000162298	ENSG00000127616	ENSG00000182774	ENSG00000248905	ENSG00000065665	ENSG00000116209	ENSG00000048740	ENSG00000112739	ENSG00000088832	ENSG00000136156	ENSG00000174197	ENSG00000082438	ENSG00000164978	ENSG00000111859	ENSG00000140511	ENSG00000259845	ENSG00000105355	ENSG00000141510	ENSG00000128335	ENSG00000117450	ENSG00000071564	ENSG00000165526	ENSG00000160584	ENSG00000183323	ENSG00000131503	ENSG00000197956	ENSG00000166037	ENSG00000132305	ENSG00000115355	ENSG00000009413	ENSG00000177885	ENSG00000141367	ENSG00000148339	ENSG00000155508	ENSG00000198848	ENSG00000184640	ENSG00000179335	ENSG00000183291	ENSG00000213999	ENSG00000254901	ENSG00000142512	ENSG00000132842	ENSG00000274588	ENSG00000116731	ENSG00000054654	ENSG00000183506	ENSG00000135631	ENSG00000157601	ENSG00000145191	ENSG00000131051	ENSG00000100129	ENSG00000198586	ENSG00000119950	ENSG00000133226	ENSG00000100697	ENSG00000132824	ENSG00000060237	ENSG00000089597	ENSG00000130856	ENSG00000138326	ENSG00000171163	ENSG00000177409	ENSG00000079387	ENSG00000105726	ENSG00000012817	ENSG00000073921	ENSG00000196323	ENSG00000160055	ENSG00000198851	ENSG00000156265	ENSG00000118058	ENSG00000174780	ENSG00000182149	ENSG00000187735	ENSG00000175711	ENSG00000165629	ENSG00000089820	ENSG00000143537	ENSG00000109332	ENSG00000163453	ENSG00000226752	ENSG00000114126	ENSG00000043143	ENSG00000133641	ENSG00000174437	ENSG00000212694	ENSG00000178950	ENSG00000199568	ENSG00000212443	ENSG00000131174	ENSG00000161970
C10	CTR	3.089863614	3.447043401	4.883478283	6.012832144	5.868953967	4.838959909	5.081178006	10.38849476	5.859698909	6.940131362	4.211774413	6.797165326	3.872151528	6.672684031	9.158942323	7.548060122	6.806828996	8.443249978	7.878729745	5.392291672	2.504341496	6.715382398	4.789129091	-0.294111085	4.926663941	5.901789027	5.767692322	4.624028075	6.125234439	4.68398634	7.217305664	3.872151528	4.452413923	7.835007122	6.188698911	6.196071565	6.638457619	6.750858341	7.684834774	8.093712998	4.785223703	6.55261144	0.499295151	9.148719681	7.200541916	6.291393548	0.338037291	4.519771759	4.898017612	6.729677627	2.426245693	7.777685019	10.34902429	4.704810122	5.118904935	5.908985321	5.787350238	9.137849947	7.152085044	7.241735426	5.445225596	7.161907498	7.938412867	7.431714136	8.968018537	7.617793238	6.163346263	7.306518872	5.029289931	7.128388808	5.285753965	6.328094546	-2.200073261	8.240697819	7.691631539	3.257095987	7.701508024	7.22453393	8.537096671	6.623224388	7.251675726	6.412798472	3.716799363	5.9107788	8.371154392	5.422777021	8.530696206	3.466684014	4.641414781	6.601179766	8.152876471	4.058420359	7.369822317	4.745577106	7.585033738	2.560258495	0.338037291	4.606429274	4.09673923
C12	CTR	3.208940217	3.350659045	4.963413149	6.6256096	6.026605287	5.105555379	5.248935223	10.0358981	5.839507622	6.876084537	3.925388561	4.209248551	3.925388561	6.885073622	9.328324263	7.634727373	7.151845032	8.668974426	7.913930905	4.963413149	2.754994308	6.992952072	3.580528435	-0.777465327	4.813274655	5.848726786	5.426901192	4.897421481	5.765501799	4.314139283	7.282769178	4.416885288	4.624363123	7.939612799	6.187848578	6.230791394	7.400288406	7.037977372	7.808263327	8.326006787	4.292681879	6.590868936	3.624131891	8.89804497	7.165190055	6.471811175	0.813999293	4.000104867	5.262795505	7.127053862	1.75414927	8.089070505	10.4558975	3.904321426	5.165808696	5.41453755	5.572007024	9.634215843	7.25599394	7.393374858	5.234940489	7.534885068	8.210253008	7.60239003	9.078540258	7.652735169	6.158493057	7.952498131	4.658315832	7.360881015	5.273788648	5.908138967	-2.807093047	8.633942066	7.9257404	3.624131891	6.872473162	6.170307039	8.437442771	6.828416472	7.251830207	6.399627496	3.831789294	5.845046187	7.952070469	5.417018769	8.934654401	4.576333782	5.995399874	7.067495298	7.708995844	4.237599174	7.425769089	4.132818665	7.341419435	3.641210846	2.553233723	4.980289093	4.632926505
C19	CTR	3.319983054	3.752257647	4.600125855	6.259025325	5.96017627	5.004662073	5.161055937	9.762281549	5.601434546	6.832482518	4.06844686	5.548644377	3.898048602	6.653885141	9.322584488	7.740368909	7.043417231	8.450300485	7.724732275	4.915149303	3.009916687	6.94909415	4.235217462	1.496641038	4.857408686	5.841361827	5.783793067	4.651097764	5.747446784	4.345437784	7.317505175	4.235217462	4.938786358	7.664869703	6.121204122	6.238934938	7.62854021	6.932265631	7.907288067	8.400631241	4.460134772	6.530000028	2.267685275	8.846046595	7.156098402	6.153129293	0.71204117	4.516200944	5.001859598	7.134511161	1.956419415	7.921074991	10.34042142	4.531827642	4.774452789	5.828765825	5.513658504	9.403780412	7.041371623	7.438507273	5.248770942	7.401241089	8.242832976	7.420781561	9.09019763	7.239355316	6.27883978	7.979222445	4.61853753	7.294215178	5.145903916	5.971680005	7.054954546	8.688744793	7.569670999	3.292726169	7.301070767	5.548644377	8.409645971	6.707331105	7.262370063	6.276522743	3.867584312	5.788679183	8.06630194	5.618000643	8.73609763	3.513422856	6.716761676	6.561744972	7.532287098	4.024938674	7.458064003	4.354253723	7.388423189	2.151108589	2.046205328	4.65823465	4.806925833
C2	CTR	3.264057408	4.550175915	5.556245505	6.089424303	5.934227805	5.273495284	5.472444068	10.06372868	6.049939959	7.04838347	4.323653791	6.541454281	3.525218495	6.909030853	9.514486059	7.633321587	7.247036354	8.977801038	7.97372317	5.027676522	2.783116647	7.016115437	4.631683093	2.694849612	5.168161248	6.306014547	5.545769871	4.838081891	6.112322466	4.697518212	7.154922355	4.168430513	4.273745592	7.614398103	6.40901398	6.200445082	7.212351345	6.844681249	7.977235659	8.390313212	4.631683093	6.641264205	2.584544571	9.311792801	7.090795106	6.592222214	0.132358784	3.912043722	5.293669689	7.040197304	3.274246077	8.100097225	10.40709977	4.232537439	4.599630661	7.025947227	5.645291726	9.26817176	7.031213645	7.789321612	5.333191382	7.627372522	8.235643595	7.828740782	9.358928495	7.761073001	6.155679362	7.950879651	4.619746725	7.694349	5.247873963	6.215063544	-2.807093047	8.45640111	8.021002432	2.839097094	7.7538098	7.593189775	8.617628012	6.843826368	7.250265886	6.620450004	3.222567566	6.027528098	8.156954739	5.265856551	8.781954465	4.390746007	4.810343474	7.107274233	8.194993218	4.386055815	7.512106361	4.258430137	7.186285064	3.96332248	2.970223959	4.734886278	4.587424997
C22	CTR	3.373252479	3.754987347	5.136699758	6.421102205	6.003587314	5.172180748	5.203955802	10.25675475	5.538990983	6.76982651	3.896062146	4.934597701	3.816076684	6.876744648	9.268153879	7.440051559	7.153904403	8.571270568	7.768398778	4.234927067	3.300298529	6.942434249	4.572477613	-0.612975483	4.98201922	5.887420206	5.855037439	4.864028857	5.782277091	4.522950899	7.101189303	4.218050448	4.743406755	8.105417923	6.288623246	6.154612239	7.117965393	6.812612577	8.030470292	8.395726793	4.695440061	6.536772496	5.157502901	9.065690335	7.207613683	6.446681334	0.744827772	4.490524991	5.075553949	6.997866114	2.852674106	7.695083318	10.28598036	4.240509018	5.130700487	5.803173487	5.648014725	9.089856132	7.26214175	7.379361625	5.145652147	6.969576376	8.186456991	7.477760153	8.824770042	7.545841922	6.078739888	7.203332596	4.674973487	7.130044812	5.430848238	6.138259316	7.312697859	8.595975054	7.769364451	3.130316658	7.451528151	5.903343032	8.398226072	6.801326456	7.321283557	6.315316919	3.632967532	6.083406505	8.252519893	5.459850177	8.665833481	3.888971239	4.747332913	6.723741295	7.832635005	3.951568619	7.59677972	4.278989405	7.474211024	2.310497443	0.390447717	4.719622748	4.011562521
C23	CTR	3.439644171	3.288613647	5.478636304	6.364777804	6.129484546	5.11168368	5.498438388	10.26915186	5.568025031	6.778177676	4.345179274	4.189438006	4.146157906	6.961444891	9.512684141	7.683042877	6.954293329	8.535454144	7.826049046	4.840174307	3.398081504	6.915234252	3.816133745	-0.39758279	4.595532245	5.72963468	5.891893881	5.029004997	5.908640278	4.562991132	7.219588049	3.972977106	4.816706104	7.830449963	6.570535409	6.28579017	7.178751226	7.083638701	7.871839652	8.313104396	4.53928973	6.601764923	0.993943296	9.011277182	7.055509534	6.488750907	-0.014176975	4.055496321	5.105240979	6.988827115	1.048690955	7.995437692	10.49362881	4.553557245	5.14347255	6.730833312	5.687127822	9.369492494	6.982689302	7.209862087	5.237789011	7.380966433	8.008443411	7.495014363	9.182282074	7.405426705	6.116729313	8.021332931	4.667266052	8.123693041	5.39659263	6.001766461	-2.184989742	8.634133866	7.851774394	3.322334859	7.487602781	5.708537795	8.570077966	6.815162787	7.156333732	6.722438541	3.800267142	6.215746562	8.037073025	5.486093973	8.767362845	3.288613647	6.559973517	7.072948092	7.828984482	4.266525004	7.458833668	4.295110586	7.30499433	3.206723281	2.155945234	4.955694832	4.718818623
C24	CTR	3.216057591	3.757764341	5.645285525	5.836870466	6.12015566	5.138683033	5.466859254	9.957711541	5.564603124	6.904094818	3.873930256	5.12311612	4.100685334	6.927584796	9.455507807	7.64055404	7.036298237	8.738334937	7.873305208	4.2049231	3.054749596	6.945397286	4.081482366	2.82773197	4.844275112	5.925692315	6.00257136	4.754172752	5.671207184	4.398389009	7.130399965	4.329522217	4.631905028	7.837505534	6.306732341	6.263366658	7.118673148	6.962117846	7.883966514	8.369209974	4.329522217	6.527373623	2.272347595	9.074502788	7.094929621	6.428250936	0.07077019	4.449213143	5.277343229	7.211395431	3.531185075	8.015837807	10.66123275	3.896081745	5.688233105	7.351580615	5.664770302	9.410690647	6.865322509	7.361565212	5.436952064	7.326652388	8.157057499	7.650361326	9.04237969	7.474443383	6.240463747	7.823607506	4.645044834	8.254581759	5.474240174	6.105971142	7.197341099	8.62187585	8.161636409	3.131445855	7.511384951	6.257674926	8.538075565	6.7585433	7.202534953	6.592126536	3.716866471	6.011053938	8.090177863	5.343320373	8.694506582	4.687999474	4.936223486	7.364878114	7.847486697	4.28544846	7.462741079	4.125898045	7.330724178	2.987566369	2.226463474	4.750124665	4.274216378
C28	CTR	3.188393881	3.139008353	5.314447337	6.073089423	6.000633091	5.002123732	5.186605039	10.33910735	5.411225269	6.814738997	4.114541824	5.682959708	3.793991256	6.720309543	9.353375055	7.417329597	6.902440995	8.572194265	7.864078455	4.898355696	3.270948382	6.798926999	4.920445912	-1.422900004	4.802489096	5.758481836	5.76866518	4.88718244	5.870517619	4.265993539	7.273134748	4.049209866	4.913120025	7.882012892	6.31324698	6.113600702	7.009365246	6.887566406	7.789024277	8.208823552	4.580006175	6.403582822	2.502018348	9.071847826	7.062480834	6.389134249	0.532728715	4.464476163	4.913120025	6.881010236	1.04278877	7.76277312	10.38682669	4.449362046	4.575372689	6.912579034	5.822446605	9.110393051	7.067438942	7.412791518	5.219643257	7.152334296	7.930893364	7.364595164	9.036886133	7.302869492	6.198912933	7.511900178	4.86836587	7.531767655	5.158999445	6.230200562	-2.807093047	8.389599788	7.685870123	3.3705887	7.687481255	7.07238007	8.491489981	6.70872041	7.223654337	6.484892731	3.541864453	5.864832958	8.253740409	5.177461741	8.494560942	2.667894426	6.385168486	6.591996482	7.954726258	4.164757487	7.411492298	4.716725977	7.351782291	2.198831316	0.6072529	4.575372689	4.082245631
C29	CTR	3.102270479	3.979402342	5.151851491	5.861592851	5.957579426	5.184544903	4.999824629	10.37292162	6.113887545	6.978129797	3.881283422	3.548305622	3.760313516	6.412503666	9.037543939	7.336563131	7.124703552	8.744006265	7.693770632	5.311072436	2.601474249	6.671364938	5.187480619	2.999111386	4.89597108	6.222352866	5.571444361	4.945367703	6.429961937	4.424729827	7.213070246	4.151637559	4.611185872	7.623972957	6.19197705	6.062044596	6.926350683	6.717793386	8.002535151	8.220639059	4.803323164	6.452102257	3.064444935	9.248153062	7.075633624	6.293564722	0.825853246	4.353327232	4.658501625	6.859819164	1.490398074	7.831042848	9.77007504	4.511627972	3.902877948	6.223783503	5.818687247	9.094565986	7.225977603	7.738994647	4.826107299	7.088254819	7.953365843	7.282672908	9.013137579	7.719351647	6.138368369	7.605982844	4.795647783	7.067688937	5.20497056	6.458192523	-2.807093047	8.205875035	7.433101382	3.321229714	7.441118332	7.464905301	8.396803063	6.490642933	7.243715047	6.272982452	3.874012815	5.793859629	8.381181836	5.687970778	8.528531991	3.829602486	6.180234975	6.531650358	7.838065716	3.768178684	7.599384963	4.784057601	7.556882724	2.288012551	0.045177824	4.439581217	4.175491316
C30	CTR	3.28367397	3.851249446	4.944534206	5.525102446	5.686575326	5.410358535	4.878354526	10.26713142	5.868041402	7.033725845	3.98933638	5.999942676	3.837381926	6.639333278	9.025682774	7.33512771	7.14908204	8.666252319	7.668474026	4.819611764	2.773782088	6.969217828	4.878354526	2.553983835	5.100713178	6.42310011	5.910053041	4.931538908	6.257241567	4.590780284	7.312750933	4.068635414	4.531726401	8.087047776	6.027685597	6.210936726	7.032204873	6.701896004	8.204803263	8.366526261	4.898529125	6.404410119	3.263073963	9.528741094	7.104908708	6.318421309	0.671342732	4.709728257	5.655299118	6.860287808	2.314731646	7.692745479	9.983996622	4.510035884	4.333577937	6.444984504	5.77471256	8.96140538	7.073458189	7.421317613	5.023205571	7.139931291	8.034839013	7.358377063	9.265762502	7.839102165	6.100611866	7.368055274	4.844090306	7.111405493	5.152032677	6.656217902	7.432891318	8.355013893	7.513589033	3.420182537	7.760908025	6.964440871	8.441777516	6.481108238	7.181689531	6.107850185	4.068635414	5.842234364	8.468171248	5.879928503	8.514659644	3.177600117	4.750997039	6.344392677	7.9893179	3.728895467	7.552305982	4.510035884	7.659635368	1.31612843	1.190851364	4.401125444	3.871803952
