ID	Class	ENSG00000101363	ENSG00000204310	ENSG00000138642	ENSG00000182621	ENSG00000107643	ENSG00000138801	ENSG00000168283	ENSG00000142541	ENSG00000162298	ENSG00000127616	ENSG00000182774	ENSG00000248905	ENSG00000065665	ENSG00000116209	ENSG00000048740	ENSG00000112739	ENSG00000088832	ENSG00000136156	ENSG00000174197	ENSG00000082438	ENSG00000164978	ENSG00000111859	ENSG00000140511	ENSG00000259845	ENSG00000105355	ENSG00000141510	ENSG00000128335	ENSG00000117450	ENSG00000071564	ENSG00000165526	ENSG00000160584	ENSG00000183323	ENSG00000131503	ENSG00000197956	ENSG00000166037	ENSG00000132305	ENSG00000115355	ENSG00000009413	ENSG00000177885	ENSG00000141367	ENSG00000148339	ENSG00000155508	ENSG00000198848	ENSG00000184640	ENSG00000179335	ENSG00000183291	ENSG00000213999	ENSG00000254901	ENSG00000142512	ENSG00000132842	ENSG00000274588	ENSG00000116731	ENSG00000054654	ENSG00000135631	ENSG00000157601	ENSG00000145191	ENSG00000131051	ENSG00000100129	ENSG00000198586	ENSG00000119950	ENSG00000133226	ENSG00000100697	ENSG00000132824	ENSG00000060237	ENSG00000089597	ENSG00000130856	ENSG00000138326	ENSG00000171163	ENSG00000177409	ENSG00000079387	ENSG00000105726	ENSG00000012817	ENSG00000073921	ENSG00000196323	ENSG00000160055	ENSG00000198851	ENSG00000156265	ENSG00000118058	ENSG00000174780	ENSG00000182149	ENSG00000187735	ENSG00000175711	ENSG00000165629	ENSG00000089820	ENSG00000143537	ENSG00000109332	ENSG00000163453	ENSG00000226752	ENSG00000114126	ENSG00000043143	ENSG00000133641	ENSG00000174437	ENSG00000212694	ENSG00000178950	ENSG00000199568	ENSG00000212443	ENSG00000131174	ENSG00000161970
Sample_102	cancer	2.78382568	3.669366956	4.232099509	5.025303943	5.271870038	5.875597221	4.608541763	8.685408491	2.878462554	4.448077091	5.280560998	5.163277476	3.276222062	6.97666178	8.548191269	6.710146806	6.274047691	10.85674173	6.770005186	4.040733983	2.327447385	7.285966381	3.440341442	2.258734635	6.321142809	3.530539251	6.350331276	5.881322208	4.802049439	3.912409886	6.225363177	5.397037658	7.514972095	7.27730802	4.67596969	5.372857845	6.848088905	6.438401031	8.420327419	8.189471973	3.310573567	6.410957635	4.416882469	6.346197477	7.07735578	6.295645325	1.424744587	3.615428148	5.045840874	7.111853975	1.759163626	6.399034468	9.106670451	2.110635996	5.881322208	4.814071967	8.438886379	7.538713182	5.99129505	9.142867918	5.420818884	8.895182423	7.262029715	8.888091255	5.749805571	5.467236669	5.711754265	3.501095473	7.407986069	4.94010162	3.843697136	-1.513854869	9.62505685	6.845162545	3.009707088	3.241032634	5.598150157	6.896949782	5.339974483	7.458646332	5.380962895	3.912409886	4.432564091	6.184270984	5.144356614	9.003486448	3.276222062	3.669366956	4.993939772	5.245478539	3.796000394	6.073610139	4.232099509	5.562960729	2.110635996	3.999214714	2.110635996	4.040733983
Sample_103	cancer	3.27175845	4.615117925	3.765573063	4.622832891	4.380425135	4.999864067	3.737422022	8.730074381	4.583838759	5.108259718	7.035704723	4.05507968	3.291254626	6.588771054	8.71751938	5.53765251	6.608333321	9.511267682	6.155565432	3.291254626	2.261910664	7.377577897	3.455790398	1.626674957	5.52123475	4.442773512	6.079113372	4.575911843	4.296087779	2.892265068	6.421920197	5.167483128	7.355753273	7.111690623	4.043629659	4.468690886	5.943991343	5.405241455	8.112033265	7.684493898	3.872986005	5.818600426	3.38496906	7.282148588	6.187129755	5.508797647	1.80000656	4.599563111	6.314069255	5.387235667	1.026282416	6.558921127	8.449567793	2.547819536	6.865689414	4.362104952	7.769488113	6.554894062	5.418599838	7.516583392	5.254480459	7.919535009	6.881854234	8.873592392	6.280320463	4.810178365	6.410822488	3.820278955	6.982728836	4.468690886	4.945530218	5.821955533	8.923639964	6.602492442	3.723137796	4.645733293	5.22943304	7.089590506	4.477227568	6.766443992	4.111005094	4.856720951	4.88265774	7.190378338	4.668275861	8.082963828	2.375866853	5.529466984	5.074901121	5.992438961	2.786331623	5.986471237	4.434029879	6.619944611	3.523297217	4.810178365	3.649514933	5.581861109
Sample_110	cancer	2.75871919	1.845596641	4.000874866	4.898482221	5.084621654	4.938559661	4.323643938	8.973942539	1.46145315	3.783381245	6.157182792	2.655625697	3.186140414	7.17639714	8.248359564	6.198113056	5.811231027	10.43401925	6.439121155	3.573163537	2.20816672	7.242812863	3.094509939	0.102372056	6.128594768	2.497673338	6.853188254	5.119906716	3.215434721	2.979689537	5.993495336	5.287893913	7.256970058	7.157654492	5.011352001	4.746228246	6.059600301	6.324484424	8.1016368	7.727604422	2.979689537	6.223567693	2.44917482	5.839729634	6.332862468	6.160952082	0.936362105	3.515448039	5.744973183	6.625252048	-0.720750182	6.118938139	8.84369248	0.708093117	7.211350977	4.414860455	8.39559378	7.183826548	5.711952313	8.288540137	4.981822124	8.580042346	7.035677839	7.889706849	5.332026849	4.838553364	5.844425147	2.873430849	8.461262102	4.494689479	2.909726978	-4.4211899	9.761747535	6.576695228	3.013438328	2.44917482	6.310977526	6.327841482	5.036190979	7.237467892	4.911965451	4.541706106	5.104330909	6.271425602	3.550353654	8.910146957	2.676842183	5.749986898	4.751237609	4.964672501	3.340361333	5.224468533	3.156238928	5.108240654	4.121841921	5.608097327	3.110191561	4.642205182
Sample_114	cancer	3.041404804	3.242611895	5.299113338	5.058478317	5.22759486	5.201482019	4.559408882	8.36406878	3.172649337	4.757611838	4.97358942	4.671455194	3.549091591	6.697379625	9.047983731	6.482881057	6.68172353	10.79924265	6.833962724	3.718249406	1.864100272	7.914200067	4.113195487	-0.698835922	6.262745315	3.041404804	7.332081965	4.665099699	3.276360687	3.47835708	6.792288356	5.987664605	7.8789362	7.255889138	4.888856371	4.931844879	5.938447614	6.536090346	8.443735323	8.00380903	3.693481501	6.366274174	2.939764542	6.527357299	7.110274459	5.834670795	1.772469797	3.754621795	6.064527362	7.164223997	1.396321311	6.628818784	10.16893421	2.145513207	8.561335187	5.092030877	8.637974907	7.053012407	5.494577432	6.577288483	5.498157322	8.593067296	7.395841612	8.034949782	6.005382135	5.270092632	5.669868943	3.996550568	8.676005974	4.833254305	3.766544963	-2.57330504	9.811748448	6.511503348	3.754621795	3.576442079	4.084906443	7.154048206	4.810399252	7.74523777	4.384764279	5.110859138	3.902428391	6.96391336	4.065734133	8.893790994	2.609916784	3.742599267	4.804628464	5.673039703	3.172649337	5.682510383	3.923881501	6.137501394	3.589925309	4.474727656	2.555977977	3.790099691
Sample_115	cancer	3.42992559	2.726318592	4.40009036	4.879351814	5.345228425	5.086214538	4.382760482	8.623789536	2.882437794	4.417214538	5.679184617	4.408677856	3.746782695	7.102847129	8.766334271	6.466372368	6.494881031	10.74926759	6.516892062	4.186998757	2.201897634	7.559449638	3.250477814	1.297475294	6.041360302	3.088888672	6.291683656	5.154180132	3.395777367	3.574315499	6.528758024	5.549291475	7.733599539	7.09887276	4.879351814	4.61569942	6.435188985	6.277688121	8.279737612	7.954954072	3.691553174	6.39253414	3.045496076	6.049620029	6.841002902	6.049620029	1.844963089	3.719432207	6.63504002	6.709909433	2.487806506	6.609194504	8.796912369	1.684498417	6.296318825	4.756906912	8.618709618	7.30151565	5.761942502	8.315568452	5.31356927	8.769671431	7.363564484	8.540282971	5.613843863	5.331745196	5.657731507	3.395777367	7.148423416	4.680958059	3.395777367	5.837031815	9.624365669	6.715111464	3.250477814	3.000757762	4.475597448	6.690673214	4.82264471	7.40599975	4.84812343	4.885517187	4.570493788	6.328354607	4.27416792	8.916143151	2.7802574	5.621251813	5.107470098	5.059196987	3.269460917	5.883978312	4.094222116	5.724600075	4.329485689	5.693311487	2.806488941	3.691553174
Sample_123	cancer	3.018196094	2.401524734	5.228375832	4.844626152	4.984195423	5.645831932	4.626858431	8.860487869	2.847150553	4.206915469	5.910074119	3.758741579	2.906447737	6.870294217	8.239708165	6.593418213	5.702694269	10.18955163	7.001862461	3.842097325	1.46863893	7.114068111	3.352615134	1.795803673	6.184132994	3.121907444	6.830024493	5.835755799	4.022669571	3.911280891	5.978449916	5.015954144	7.467408836	7.190608073	5.14054985	5.32571513	6.393775234	6.242826988	8.306352863	7.8631406	3.670272791	6.43295354	4.52962956	6.310246161	6.517794423	6.263763563	0.731673336	3.088158653	6.032684463	6.67240959	1.46863893	6.203964166	9.278217074	0.331135406	8.265416	5.098790204	8.504462756	7.375092279	5.660259002	7.849355787	4.956405896	8.413710272	7.092952549	8.20125349	5.722078179	5.361471485	5.838295755	2.373779744	8.8387715	4.458768686	2.944667059	6.479256037	9.488078027	6.471095976	2.720702218	2.886951561	4.824270328	6.812046752	5.496243391	7.486155985	4.913691409	3.726198206	4.859706725	6.600916644	4.075296502	8.798903963	2.675963903	4.022669571	4.859706725	5.024901118	3.475181776	5.674543228	3.647281148	5.354390758	4.615057178	5.423681148	2.316635836	4.275993852
Sample_125	cancer	1.301099927	2.404722559	3.534413635	4.160139005	4.41539606	5.220216825	4.185302928	8.416060539	2.013297616	3.740864513	6.886701779	3.901329185	1.855035533	7.459467897	8.187639698	6.071816531	5.871924546	10.48243725	6.109550706	3.521298135	1.031913295	6.830655086	1.812600266	1.031913295	6.227301277	1.812600266	6.376778201	5.565093253	4.266147329	2.665374313	5.687558682	4.953525396	6.795678948	7.281300287	4.674289038	4.563494699	6.03537715	5.853728151	8.004782652	7.59239311	2.801793511	6.41095836	4.588861419	5.088585744	6.740157136	6.196691323	1.17277583	2.844543159	5.066183197	6.603714547	-0.005561411	5.615333631	8.610890702	-0.166026083	5.493025397	3.980130753	8.482278623	6.697066973	5.684620402	9.594449278	4.619955188	8.337332007	7.174347679	8.621684463	4.782684688	4.41539606	5.773034518	2.665374313	8.133181935	4.357535873	2.316366684	5.561894372	9.763928481	6.664628927	2.689025581	1.768878889	4.720925666	5.536044721	5.010953676	6.995031681	4.996809494	3.598260117	5.348281864	5.981328507	4.134528361	9.17918346	3.230326853	5.187380243	4.726650653	3.659400412	3.534413635	5.079666426	3.467610264	4.674289038	3.999176508	4.632207449	3.796359625	4.953525396
Sample_13	cancer	3.066401812	2.986784644	4.487478228	5.004580227	5.228776243	5.368833732	4.838755138	9.113873448	3.195961446	4.815900085	5.088024624	3.027142382	3.483857912	7.207531718	8.734644324	6.691939056	6.453638505	10.74946707	6.968119135	3.526713391	1.913322482	7.548106447	4.109328137	2.076051982	6.558900265	3.581942912	6.55372931	5.694290638	3.886152281	4.012140219	6.348075171	5.059121586	7.82415536	7.109915434	5.144149499	5.384451692	6.408521237	6.550271681	8.450627823	8.356265978	3.795600523	6.604623301	3.830226867	6.907253646	6.878589888	6.477500417	2.037057851	4.182623647	5.825943751	6.965525525	-0.69333509	6.524071898	9.426667092	1.628593005	7.016531988	5.02465283	8.610238121	7.831295662	5.949208963	7.64611006	5.403739346	9.064736669	7.534171463	8.560834605	6.156709646	5.3960552	6.06519099	3.281861519	7.512124961	4.905225015	3.608784524	-4.152766708	9.784515147	6.89367524	3.123357697	3.648133192	5.26719347	7.167469737	5.360960888	7.654990695	5.139554925	4.465618794	4.564909715	6.781661332	4.327013556	8.913490697	3.213555506	4.41328733	4.888892443	5.510791396	3.066401812	5.917354236	4.209177066	5.749608406	4.200380117	3.807235224	2.588700278	4.676956027
Sample_131	cancer	2.170275207	1.929267107	3.284532386	4.302725503	4.466611588	5.30091648	3.924575412	8.757053145	2.739296163	3.224722991	6.344597331	3.162326454	1.929267107	6.991716308	8.271428381	5.946726316	5.487439307	10.29007145	6.339319173	2.673707822	1.966261315	7.179657819	1.891299257	0.186042522	5.998987126	1.966261315	5.887688003	5.052649523	4.560326022	2.881649087	5.477863862	5.215149664	6.915737146	7.165809423	5.035345627	4.590258529	5.591738975	5.932775893	8.17497414	7.632226817	3.046184859	6.096066008	3.239909394	5.641191026	6.714369222	5.985535327	0.417368069	2.900885306	5.230436642	6.559569695	-2.015591339	5.96511949	8.998289599	-1.167594432	5.70002752	4.38699442	8.389337322	7.079805684	5.136186316	9.249672074	4.642620144	8.430871685	7.132631002	8.029622261	4.799471679	4.566362412	5.808412712	2.739296163	7.449975066	4.041858934	1.966261315	5.751268805	9.444557351	6.219944268	2.507970617	0.871933932	3.776222732	5.350730876	4.92222383	7.097629905	5.211302475	4.602059781	4.804587624	6.296383976	3.765768375	8.998010494	2.938604972	5.5001085	4.778824528	4.57237365	3.463380466	4.636895156	3.355967524	5.022230127	3.817298675	4.47946419	2.55729833	4.182116819
Sample_132	cancer	3.338718376	2.908853459	4.28919824	5.499765226	5.296051911	6.817332926	4.869573471	8.698858562	2.529149033	4.601015019	5.245018792	5.254432822	3.457595772	7.153010861	8.886890206	6.794927894	6.514531937	10.66478937	7.037795776	3.045272657	2.619346842	7.481342295	2.704235739	0.237917735	6.966554345	3.066805819	7.003312895	6.110228099	3.536884682	3.938357453	6.433969764	5.471789653	7.922574091	7.442746251	4.975832159	5.613871712	7.0473051	6.585247703	8.669250381	8.296906335	3.961533776	6.598245044	4.403618151	6.62933093	6.924418262	6.315295677	1.544579073	3.926628161	7.084727727	7.12762182	2.731457208	6.547453923	9.041369121	2.218808912	7.02959474	5.296051911	8.781763603	7.566002096	5.447371101	7.181666368	5.491827407	8.995790185	7.536402417	8.22390943	6.292629146	5.426701764	5.821297466	3.738183071	8.325659709	4.887835678	3.82919401	6.842519731	9.925431553	6.682605723	3.50569006	3.023413223	4.630235158	7.153010861	5.314170768	7.713224523	4.947092263	5.40573199	4.728082481	6.754032439	4.630235158	8.875495952	3.764777281	5.782780516	4.981512068	5.24028864	2.932504727	6.241472632	3.995614771	5.874160741	3.641041913	3.045272657	2.704235739	4.164915904
