ID	Class	ENSG00000101363	ENSG00000204310	ENSG00000138642	ENSG00000182621	ENSG00000107643	ENSG00000138801	ENSG00000168283	ENSG00000142541	ENSG00000162298	ENSG00000127616	ENSG00000182774	ENSG00000248905	ENSG00000065665	ENSG00000116209	ENSG00000048740	ENSG00000112739	ENSG00000088832	ENSG00000136156	ENSG00000174197	ENSG00000082438	ENSG00000164978	ENSG00000111859	ENSG00000140511	ENSG00000259845	ENSG00000105355	ENSG00000141510	ENSG00000128335	ENSG00000117450	ENSG00000071564	ENSG00000165526	ENSG00000160584	ENSG00000183323	ENSG00000131503	ENSG00000197956	ENSG00000166037	ENSG00000132305	ENSG00000115355	ENSG00000009413	ENSG00000177885	ENSG00000141367	ENSG00000148339	ENSG00000155508	ENSG00000198848	ENSG00000184640	ENSG00000179335	ENSG00000183291	ENSG00000213999	ENSG00000254901	ENSG00000142512	ENSG00000132842	ENSG00000274588	ENSG00000116731	ENSG00000054654	ENSG00000135631	ENSG00000157601	ENSG00000145191	ENSG00000131051	ENSG00000100129	ENSG00000198586	ENSG00000119950	ENSG00000133226	ENSG00000100697	ENSG00000132824	ENSG00000060237	ENSG00000089597	ENSG00000130856	ENSG00000138326	ENSG00000171163	ENSG00000177409	ENSG00000079387	ENSG00000105726	ENSG00000012817	ENSG00000073921	ENSG00000196323	ENSG00000160055	ENSG00000198851	ENSG00000156265	ENSG00000118058	ENSG00000174780	ENSG00000182149	ENSG00000187735	ENSG00000175711	ENSG00000165629	ENSG00000089820	ENSG00000143537	ENSG00000109332	ENSG00000163453	ENSG00000226752	ENSG00000114126	ENSG00000043143	ENSG00000133641	ENSG00000174437	ENSG00000212694	ENSG00000178950	ENSG00000199568	ENSG00000212443	ENSG00000131174	ENSG00000161970
Sample_21	cancer	3.027203033	2.496688316	5.024678632	5.404550097	5.669848061	6.352154591	5.566036363	9.577600032	3.429574121	5.248874648	5.91581857	2.922614132	3.351147474	6.905564831	8.623262437	7.167112099	5.964046851	10.14976861	7.780595127	5.05468377	2.809846202	6.919220352	4.892471259	2.207181699	5.948149224	3.743848643	6.460722819	6.123540385	3.960088837	4.166539715	6.210517412	4.55032628	7.933757297	6.973894637	5.640470903	5.907621417	6.254271942	6.817887593	8.181631698	8.038195647	4.57813813	6.503049817	1.224883701	7.101550375	6.665803497	6.473736909	0.996614713	3.367177583	5.244542227	7.093141637	2.944147293	6.868035965	10.10476575	2.809846202	6.309238401	5.787684552	8.790473447	8.07343031	5.934766057	6.672269368	5.733064967	8.475817553	7.256963036	8.048794578	6.573827714	6.008161467	6.537102585	3.588430885	7.812409691	5.131774297	3.917180246	-4.132668304	9.108570075	7.07006774	2.965363779	4.33085607	4.858853542	7.75797598	5.787684552	7.599923132	5.392852505	4.100951373	4.7591154	6.902818148	4.529109794	8.711841322	3.546811796	6.210517412	5.956119935	6.232560546	4.052207039	6.393830935	3.960088837	5.882746749	3.027203033	4.246710063	2.737696416	4.919899747
Sample_90	cancer	1.910800399	3.495762899	3.709887705	4.561564958	4.209458714	2.939369551	3.375468666	9.293121806	3.709887705	3.896300829	5.471515353	1.35440705	2.476397574	5.471515353	7.610129924	4.932280126	5.914402635	8.42239494	5.48126333	1.790506165	1.173834804	5.970847782	4.406495561	1.514871722	4.734549759	3.333033399	3.981189726	3.570724957	4.932280126	2.311338328	5.48126333	3.953444736	5.914402635	6.958687728	3.64198364	3.333033399	5.529039054	5.305863198	6.788544649	6.657113165	2.994864663	4.426815546	1.659261632	5.809976029	5.294850205	5.738619423	1.514871722	3.836799817	4.615672363	4.161761972	-2.733055791	5.431851136	6.674211973	2.021831711	5.99826324	3.606794212	7.144995122	6.258466055	4.650648501	7.739635048	3.495762899	7.030156576	5.529039054	7.511308044	4.946424308	3.774738849	5.179833545	2.552346428	5.778696863	4.232728493	5.672085672	5.226946141	8.208725451	6.146527458	3.570724957	3.048303922	4.30036721	6.096666944	4.185807446	6.083927832	3.456768768	4.446853299	4.446853299	6.22404625	4.524332052	7.410327423	2.881654053	5.817690994	4.30036721	5.001653829	3.099834223	4.988043398	4.684796724	5.21531144	4.209458714	4.734549759	2.476397574	4.209458714
Sample_109	cancer	3.140607881	2.610093164	4.057141058	4.74254346	5.201207892	5.30768452	5.018177902	9.488445434	2.658591681	4.792296495	6.141674568	4.37997338	3.140607881	6.888840435	8.545270809	6.711990293	6.08291416	10.27858424	7.159161995	4.282760264	2.397939927	7.510805184	4.313375632	2.114767876	6.274031327	3.088456598	6.933869683	5.71270823	3.722722019	4.048067474	6.268182555	5.417448086	7.80817086	7.071205266	5.482879838	5.417448086	6.053745148	6.642857121	8.210133121	7.962825135	4.136333225	6.5875688	3.190939556	6.740432713	6.839733669	6.409499333	0.94918181	3.239574331	5.392573417	7.151768959	-1.090346554	6.677102264	9.542749584	2.247523084	6.173313885	5.388984622	8.664726468	7.962825135	5.804471209	6.805144579	5.448812257	8.537592582	7.285175626	7.843344101	6.060528993	5.71270823	6.214448391	3.140607881	8.048351889	4.922122798	3.447087576	7.045220236	9.379408305	6.703347062	2.978133184	3.767634441	3.832485585	7.246036025	5.403286548	7.552306888	4.961315565	4.511217914	4.53738997	6.684440505	4.227568478	8.694833424	2.043509192	6.005343491	4.966140637	5.608550999	3.361780264	5.972149371	4.18681167	5.729832408	4.530891333	4.625424818	2.728413131	4.64361029
Sample_32	cancer	3.057025229	2.397612779	5.169873389	4.647667639	5.050608488	5.760744547	4.64198773	8.553802204	1.922932334	3.569035129	5.66597441	3.507894834	2.795697145	7.210254946	8.357235618	6.291863913	6.012597763	10.76176789	6.518008133	3.507894834	2.099089289	7.535346111	2.397612779	0.610342103	6.411867947	2.397612779	7.476723676	5.395926403	4.03552416	3.430932853	6.122732131	5.169873389	7.344833216	7.467921848	5.287322849	5.037688744	6.290049202	6.282767445	8.297068528	7.896639017	3.48269428	6.55927447	3.404338643	5.970162497	6.636999399	6.306300007	1.270855637	3.748902934	5.704632667	6.899914825	-0.884422588	5.832318942	9.489727724	-0.436963611	8.803191682	4.407689852	8.51897684	7.158480373	5.704632667	8.03633626	4.782850266	8.467721181	7.124260679	8.203281325	5.555502716	4.708713844	5.54641007	2.711428229	9.665712015	4.724924071	2.57500903	5.552478197	9.796895696	6.673650194	3.123751343	1.845970352	5.224101868	6.217433738	5.145993753	7.364798629	4.901698499	4.788002754	4.872891651	6.444864126	4.167898447	9.013835243	3.13996157	5.573517873	4.808430635	4.547929496	3.039850086	5.416033976	3.53266274	5.382363952	3.349632751	3.457045693	3.022468007	4.229792981
Sample_138	cancer	2.633540905	3.248623394	3.568164896	4.266398096	4.825615184	4.064469777	3.780971269	8.290848047	3.071227143	4.433047965	5.546506015	4.411909198	3.642643112	6.960027282	9.395007978	5.979016334	6.380969098	10.68531773	6.256056152	3.764388384	1.187741152	8.371077073	2.98797164	-0.862884921	6.198582712	2.057680611	6.670722921	4.25457266	3.406575754	3.016260684	6.664033442	5.62208179	7.786627895	7.366620603	4.143541348	4.25457266	4.619779004	6.099598	8.42416779	7.858702572	2.98797164	6.007479798	0.57768767	6.031932842	6.834579144	5.949979982	2.002185499	4.368679146	6.119293802	6.679594248	1.084647659	6.542864376	9.579021783	1.539213522	5.365933769	4.563379834	8.563679365	6.470589928	5.40390162	7.541040104	4.925949913	9.098564773	7.572338846	8.354553542	5.603555756	5.026727683	5.203204269	3.642643112	7.072069593	4.230626965	3.509669247	-3.670239843	9.528358668	6.399881101	3.995096074	3.149939119	5.081304216	6.725294292	4.181509198	7.433703587	3.780971269	5.791239604	4.357666153	6.611690184	3.318444844	8.747348997	2.66961016	5.38775188	4.84939641	5.938938895	3.469311509	5.482044999	4.023247114	5.964571207	3.995096074	5.890092991	2.519584716	3.937090471
Sample_110	cancer	2.75871919	1.845596641	4.000874866	4.898482221	5.084621654	4.938559661	4.323643938	8.973942539	1.46145315	3.783381245	6.157182792	2.655625697	3.186140414	7.17639714	8.248359564	6.198113056	5.811231027	10.43401925	6.439121155	3.573163537	2.20816672	7.242812863	3.094509939	0.102372056	6.128594768	2.497673338	6.853188254	5.119906716	3.215434721	2.979689537	5.993495336	5.287893913	7.256970058	7.157654492	5.011352001	4.746228246	6.059600301	6.324484424	8.1016368	7.727604422	2.979689537	6.223567693	2.44917482	5.839729634	6.332862468	6.160952082	0.936362105	3.515448039	5.744973183	6.625252048	-0.720750182	6.118938139	8.84369248	0.708093117	7.211350977	4.414860455	8.39559378	7.183826548	5.711952313	8.288540137	4.981822124	8.580042346	7.035677839	7.889706849	5.332026849	4.838553364	5.844425147	2.873430849	8.461262102	4.494689479	2.909726978	-4.4211899	9.761747535	6.576695228	3.013438328	2.44917482	6.310977526	6.327841482	5.036190979	7.237467892	4.911965451	4.541706106	5.104330909	6.271425602	3.550353654	8.910146957	2.676842183	5.749986898	4.751237609	4.964672501	3.340361333	5.224468533	3.156238928	5.108240654	4.121841921	5.608097327	3.110191561	4.642205182
Sample_191	cancer	3.354029932	4.879948079	4.211636833	5.323887059	4.099647397	4.560842342	3.665069711	8.419957213	4.81838375	6.248574207	6.142668548	4.909772294	3.093163363	6.452299528	9.081950387	6.091537791	7.213879946	9.819734415	6.719760352	3.458618833	2.6385975	7.996149504	3.354029932	2.131637511	6.305774764	4.695352278	7.012134012	4.81838375	4.81838375	3.517916017	7.292393557	5.627422424	8.128073833	7.468046193	4.019846685	5.030066528	6.286011509	5.84371193	8.584438688	8.198482039	4.137951285	6.088281142	4.359443428	7.932196871	7.34245836	5.451032339	2.741690993	5.244191333	6.663976346	6.265973756	2.956958979	7.116530618	9.334062107	3.647475651	6.294514648	5.1905312	8.070649577	7.059467444	5.788595457	7.807037483	5.684609897	8.305424212	7.373557958	9.805922715	7.089095993	5.675958027	5.937183411	4.579518267	6.721863407	4.634137851	5.244191333	6.791602117	9.211075509	6.50941884	4.66069127	4.872394684	4.678125864	8.013422324	4.651894322	7.398752721	4.099647397	5.466165643	4.625176984	7.578938289	5.18444387	8.282097424	3.012993014	5.39414452	5.284589434	6.516705195	2.837906308	6.748927744	4.894937253	7.18825146	2.488572056	4.522749171	2.928104117	4.872394684
Sample_197	cancer	3.233279345	3.027879994	5.381002711	5.251960766	4.969561035	5.909854789	4.410025612	8.56083731	3.07442258	4.795268509	5.429552235	4.633713673	3.163231847	6.75356752	9.02677094	6.808522841	6.553154755	10.33290761	7.167263601	2.731348676	2.082035764	7.939231049	3.528988444	2.170391639	6.449553976	3.163231847	6.923161423	5.645322368	3.636301468	3.838609643	6.589663513	5.272068339	8.139486037	7.549383897	4.709396849	5.488028124	6.474353187	6.740397598	8.467285136	8.065569461	3.98385537	6.484442005	3.246889776	6.761886213	6.973147919	6.067727928	1.29353987	3.838609643	6.005034776	7.131941619	2.051338967	6.757138549	9.897975165	2.454694661	8.750734173	5.214352841	8.663355294	7.10790385	5.775449356	7.081561116	5.538703599	8.655403912	7.347835847	8.535068078	6.176627441	5.77074619	5.870831357	3.687105839	8.616287445	4.923691144	3.646606476	6.930559875	9.747521292	6.647248102	3.363929197	3.604937297	4.728926014	7.710932121	4.973659603	7.683669733	4.59166494	4.863119338	4.570171879	6.564068812	4.586321619	8.731197379	2.825063111	6.445133048	5.258694477	5.693332413	2.631121229	6.2358411	4.093380738	5.881777502	3.562028705	4.813676351	2.382544876	3.82959277
Sample_143	cancer	2.624800807	2.848924116	4.405940077	3.678350275	5.353864534	6.369323752	4.727162525	9.491638153	3.113687336	4.578605984	6.964201722	4.621766747	2.828015127	7.171371073	8.700628226	6.958200486	6.338237866	9.635087951	7.13884348	4.160435595	2.968387783	7.054726154	4.488206258	2.672497549	6.462150469	3.113687336	6.52033154	6.296988414	4.029191062	4.348368546	6.057535688	6.030335604	7.665516457	7.874322635	5.290315878	5.486539366	6.222837664	6.254524759	8.029477283	8.20089607	4.355691887	6.541357737	4.17706627	6.108277899	6.726456532	6.604195978	0.587964039	3.464692664	5.080922225	7.101215172	-2.685054456	6.593395003	9.812547931	0.587964039	5.868254844	5.223838493	8.721327731	7.812464771	5.802785578	8.030049554	5.462998365	8.446159449	7.276395239	8.378115889	6.262338969	5.439066856	6.584072223	3.464692664	8.514822338	5.098489505	3.337313357	7.056974218	9.031050482	6.985601793	2.624800807	3.451082232	3.530882943	7.203181427	5.880999582	7.334999491	5.174997889	4.201658258	5.742607582	6.56208189	4.461302075	8.787805585	4.074278951	6.082026469	5.558119528	5.342851541	3.924739898	6.250601724	4.10067045	5.425211335	3.712976618	3.75788904	3.75788904	5.259413598
Sample_187	cancer	3.281020698	2.925361746	4.489490743	4.237951976	5.427862086	6.178993229	4.510324246	8.58985682	3.231692985	4.065683034	5.366342512	3.566112024	3.419625936	7.111569192	8.8601623	6.516773497	6.544812623	10.8602257	6.691124604	3.680823683	1.340399245	8.063482126	3.901902773	-2.028834565	6.276467211	2.893997575	7.087509396	5.438770985	3.44148537	3.525754287	6.591996184	5.737142116	7.827590964	7.467686373	4.890028672	5.076200906	5.931167367	6.715999273	8.385850671	8.087942573	3.66232734	6.437411875	2.795593871	6.270373454	6.80088817	6.294595555	1.24418393	3.948445359	6.63056677	6.850748685	1.812467689	6.54985261	9.811025322	1.671605153	6.958903161	5.110716788	8.743480009	7.078818436	5.772065335	7.226194005	5.308043872	8.861683061	7.564245263	7.884553542	5.533407859	5.476315354	5.659998534	3.256567654	8.393580668	4.77422022	3.546074271	6.370621393	9.665668426	6.644768968	3.256567654	2.82914643	4.120912555	6.775296456	4.959850122	7.581575142	4.619822611	5.325782149	4.551109861	6.370621393	4.212751422	8.857115961	2.408570747	4.446898866	5.033661361	5.38901795	3.419625936	5.728277602	3.752525149	5.827072102	4.008254754	5.492111443	2.535950054	3.463018532
