ENSG00000101363	ENSG00000204310	ENSG00000138642	ENSG00000182621	ENSG00000107643	ENSG00000138801	ENSG00000168283	ENSG00000142541	ENSG00000162298	ENSG00000127616	ENSG00000182774	ENSG00000248905	ENSG00000065665	ENSG00000116209	ENSG00000048740	ENSG00000112739	ENSG00000088832	ENSG00000136156	ENSG00000174197	ENSG00000082438	ENSG00000164978	ENSG00000111859	ENSG00000140511	ENSG00000105355	ENSG00000141510	ENSG00000128335	ENSG00000117450	ENSG00000071564	ENSG00000165526	ENSG00000160584	ENSG00000183323	ENSG00000131503	ENSG00000197956	ENSG00000166037	ENSG00000132305	ENSG00000115355	ENSG00000009413	ENSG00000177885	ENSG00000141367	ENSG00000148339	ENSG00000155508	ENSG00000198848	ENSG00000184640	ENSG00000179335	ENSG00000183291	ENSG00000213999	ENSG00000254901	ENSG00000142512	ENSG00000132842	ENSG00000274588	ENSG00000116731	ENSG00000054654	ENSG00000135631	ENSG00000157601	ENSG00000145191	ENSG00000131051	ENSG00000100129	ENSG00000198586	ENSG00000119950	ENSG00000133226	ENSG00000100697	ENSG00000132824	ENSG00000060237	ENSG00000089597	ENSG00000130856	ENSG00000138326	ENSG00000171163	ENSG00000177409	ENSG00000079387	ENSG00000105726	ENSG00000012817	ENSG00000073921	ENSG00000196323	ENSG00000160055	ENSG00000198851	ENSG00000156265	ENSG00000118058	ENSG00000130656	ENSG00000174780	ENSG00000182149	ENSG00000187735	ENSG00000175711	ENSG00000165629	ENSG00000089820	ENSG00000143537	ENSG00000109332	ENSG00000163453	ENSG00000226752	ENSG00000114126	ENSG00000043143	ENSG00000133641	ENSG00000174437	ENSG00000212694	ENSG00000178950	ENSG00000131174	ENSG00000161970	ID	Class
4.011311159	2.732036409	5.353252201	5.864318415	5.919662845	5.943173566	4.666661604	9.930834498	4.077210383	5.665103366	3.70410325	3.502467558	4.450862826	7.043684272	9.590080484	6.933464347	6.482215159	10.40471069	7.569822742	4.182670627	2.67814448	8.085529597	5.196127303	5.786873264	4.314164258	7.789678352	5.672066509	4.144895086	4.245478169	7.144259606	6.434784348	5.342709603	6.428504971	5.321248472	5.819680869	6.337666147	6.798280666	8.79035354	7.978435923	4.651890547	6.926315963	2.72739802	7.426585632	7.494013293	6.848836672	-0.846860469	4.032663631	7.303430825	7.192182092	1.601305473	7.233153393	10.42571399	2.532079917	7.418467986	5.865781883	9.38090244	6.737730208	6.381311015	7.985215922	6.219724989	8.893637402	7.683141524	8.666700389	6.438235706	6.105679053	6.529279182	4.906917476	7.522789312	5.396668965	4.730104233	1.609839848	9.831259914	7.211699119	4.054489406	5.027066278	5.040913062	7.767370816	-3.275490414	5.431750436	7.738909473	6.300570535	5.859436868	4.959651278	7.535367846	4.202150628	9.354975086	3.375486922	6.575886315	5.947730515	6.881049896	4.158681163	6.890018924	4.555609428	7.001290749	3.568288282	3.757780441	3000	CTR
3.936609014	2.938495507	5.234284795	5.629591496	6.159005366	5.636432001	5.279638135	10.21276047	3.812968256	4.957986933	3.963023575	3.874279389	4.648938186	7.584887145	9.505425999	7.292400169	6.114748313	10.7819216	7.324763179	5.0056305	3.413596901	7.806394473	4.054029749	5.705986087	4.138593871	7.263645549	5.964748198	3.801946763	4.269580839	6.960718623	6.307284102	5.604364503	6.651310663	6.247883282	5.418402431	7.16249883	6.829275218	8.27137704	8.178580485	4.612136805	7.236453757	3.355107387	6.744221101	7.317018679	7.308498521	-0.549278565	4.007621364	6.441723655	7.603046398	0.087944623	6.986766435	10.05308342	2.453487354	6.560241064	5.524637732	10.04087317	6.793590172	6.677683678	7.024935452	6.557226482	9.085166759	7.355880858	7.900949239	5.900508762	5.73824456	7.048938	4.322421005	8.192972736	5.613508205	4.261268371	2.016836326	10.24385512	7.432087988	4.220367165	4.526662005	4.908197919	6.970030333	-3.350476313	6.022814573	7.690787637	6.491035798	5.433532749	5.593443869	7.24791774	3.886122465	9.654906414	3.384480321	6.668886662	5.365215449	6.299982979	4.771275758	6.389917042	4.092596037	6.4140991	4.418628232	4.966727167	3004	CTR
3.416760766	2.585208402	5.095810944	5.613954313	6.352318658	5.415715935	5.437970669	10.88876207	3.530109112	5.062388958	3.833362679	6.418710402	4.114751828	7.507246824	9.135020933	7.62035849	5.603451935	9.869982811	7.935908025	4.811576002	3.380173778	7.579772642	4.831006585	5.187143082	4.216370345	7.148284414	6.636518488	4.314164258	4.667519109	6.478716768	5.322119599	5.270935464	6.933464347	6.454622263	5.667891241	7.121673892	6.833972392	8.200938141	8.281572667	4.460254823	7.250356924	2.922518514	7.15066729	7.11311548	7.519892488	-0.000565497	3.186341363	5.425520644	7.568822296	2.779829803	7.305099319	10.27671315	2.682214219	5.665103366	5.823507231	9.879677817	6.744882417	7.106269726	8.213690823	6.648191369	8.807110669	7.462249549	8.579708799	6.08921429	5.895632662	7.760520264	4.274365246	7.928061708	5.337871376	4.239368506	1.82324932	9.777219256	7.831784073	3.464799501	5.003936288	5.638745843	7.576717885	-0.778067723	6.26574163	7.473276394	6.910878114	4.348091594	5.877434907	7.004991302	3.646141685	9.583536212	3.894499684	5.42376002	6.074935586	6.724667152	5.178509626	6.713772763	3.89591012	6.208213486	4.549338485	6.334918378	3008	CTR
3.729581345	2.018145214	5.463007219	6.438840029	6.535784461	6.659432113	5.473295145	10.65437389	3.334105009	4.784150759	3.958900749	3.331943074	4.130957753	7.487358035	9.167484962	7.485481567	5.899546508	10.10231274	7.94894426	4.588127296	3.198555968	7.777913323	4.332386068	5.379796858	3.947347506	7.057229289	6.547708397	3.75244989	4.496521737	6.512106445	5.633235805	5.580743965	6.224126605	6.305047761	5.666488895	7.037716658	7.073217237	8.380328033	8.44816021	4.511321403	7.336800307	3.627064575	6.596051102	7.004233477	7.686438775	-0.558929959	3.200255917	5.177660571	7.872063094	2.271199292	7.05571712	10.34648279	2.142391603	6.861153722	5.785938195	10.11491885	6.838046368	6.92493992	7.588866086	6.5263063	9.09251081	7.475102911	7.974321947	6.00489407	6.048743352	7.033181897	3.972733795	7.660517721	5.48996338	4.200380194	2.316675508	9.930834498	7.916305793	3.265601312	4.409676983	5.202174542	7.148284414	-2.156537446	5.949264394	7.638210619	6.980243214	4.691788415	5.554416528	6.695940558	3.719772022	9.718352734	4.277460024	5.174204939	6.256265434	6.484585016	4.920820057	6.505686413	3.567771641	6.232937703	4.057623813	5.253451402	3011	CTR
3.772725434	2.31608116	5.148390686	6.172034082	6.483977677	5.915248972	5.399336621	9.768779698	3.349203947	4.75343182	3.464270495	5.302347835	4.265258357	7.176197761	9.155128515	7.266199868	6.05550335	10.32865031	7.595873363	4.395909011	3.012747436	7.735479888	4.391189874	5.823962037	3.994291982	7.37509586	5.548060465	3.77033239	4.391604255	6.537003704	6.261846648	5.43263119	6.173703458	5.985118262	5.363898623	7.42295209	6.857759484	8.61749259	8.693398177	4.650191568	7.24052557	3.746101532	6.707961076	7.100074382	7.129478351	-0.531892798	3.460125579	6.134590866	7.730850689	2.546920076	6.898989359	9.972860471	2.229705965	6.957819116	5.573967195	9.831259914	6.822517091	6.838046368	8.082499776	6.427935436	9.335098857	7.401571346	8.056255918	5.969811294	5.869675121	6.572860962	4.067554705	8.204153588	5.480110756	4.417774994	3.372291677	10.04087317	7.900949239	3.491508747	4.186646624	4.905668631	6.948519446	-2.742785978	5.821554652	7.604091238	7.021251306	4.458121845	5.369227749	7.081581815	4.422044925	9.654906414	4.51557112	6.775031191	5.929217313	6.639596135	5.035896329	6.475733438	3.856234985	6.287590281	3.904839551	3.751957773	3013	CTR
3.543010723	2.383352882	5.603451935	5.780726927	6.251234928	6.93919208	5.23169822	10.54312525	3.342722788	5.032130453	3.837606479	5.265262223	3.988803452	7.333391325	9.135020933	7.357644166	5.704130416	10.11491885	7.795612032	5.273519561	3.486318182	7.522789312	4.858716997	5.47062055	3.998427583	7.267882211	6.435925916	4.631610613	4.546381701	6.492806079	5.975418343	5.21474234	6.68080886	6.197239533	5.678546088	6.959987018	6.849521571	8.497707439	8.110729445	4.647660762	7.185782564	2.815468895	6.817068918	7.250356924	7.329083895	-2.465153778	3.088238083	6.162257703	7.544052816	1.502193845	7.184992719	10.01785499	1.918337409	7.049706595	5.692461778	9.654906414	6.917212593	6.797625321	8.319382305	6.464546538	9.077487982	7.557902681	8.507926391	6.010994811	5.933677134	7.12712639	4.082642402	7.997369951	5.357675617	4.145789645	2.148058665	9.794969682	7.568822296	3.318444329	4.456829344	5.642858307	7.284766174	-2.959777701	6.210453922	7.549992866	6.840079314	4.638813611	5.65716723	7.042971233	3.756807317	9.569674269	3.660988037	6.897587568	5.892695863	6.560856991	4.86992938	6.605776335	3.747539937	6.041949956	3.975500635	4.960455679	3016	CTR
3.829118166	2.428905485	5.435323071	5.767500766	6.163348348	5.693398052	5.030034746	10.57009798	3.748997512	5.371892912	3.799525652	2.598081973	4.317246994	7.098513387	9.434910417	7.433933437	6.028961597	10.1418924	7.990572188	4.064407718	3.227246644	7.868369994	5.233850552	5.094530724	4.351536999	7.324763179	6.066480841	4.243330812	4.623184795	6.933464347	5.154852115	5.454971972	6.880373022	6.059148849	5.758538203	6.439999537	7.096223728	8.382196264	8.367358591	4.704304888	7.107015424	3.20734829	7.27714047	7.27887173	7.153865076	-0.934665156	3.342190801	5.782134639	7.489227018	3.729083417	7.493048768	10.32865031	2.451062482	6.827926553	6.022814573	9.840841936	6.800297603	6.824536805	7.224794019	6.56146852	8.970653227	7.656293062	8.283229603	6.36076735	6.266868673	6.975167274	4.336342695	7.846305518	5.420190794	4.359223509	12.41661637	9.786213068	7.577745565	3.605285918	4.879413335	5.015305599	7.884486958	-3.398024761	5.898072389	7.682062006	6.596051102	5.104279303	5.471510142	7.110805925	3.851458469	9.407817139	3.885180861	5.399336621	6.176416241	7.057229289	4.373043445	7.048938	4.232264696	6.469231314	3.854829385	4.264805544	3029	CTR
4.112056348	2.972064326	4.889822254	6.40022752	6.196164226	6.488687792	5.404120548	10.44734045	3.50036442	4.298821085	3.853382495	3.683760647	4.509611653	7.857272291	8.91563066	7.275446954	5.883366613	10.42571399	7.134202925	2.732036409	3.789568494	7.687512494	2.507186234	5.749988134	3.91706637	7.586867967	6.694678478	3.803835903	4.380455286	6.259620337	5.850319445	5.276990599	7.351481649	6.390481558	5.279638135	7.569822742	6.692186158	8.360123292	8.173829289	4.289269874	7.272082775	3.88044676	6.375554118	7.278008594	7.971610085	-1.235562198	3.53836482	6.166638219	7.73664503	2.108384387	6.743548385	9.734751584	1.537421035	5.948765848	5.410401417	9.831259914	6.723369096	6.737730208	7.849920757	6.328689756	8.741792785	7.333391325	7.62240171	5.372326346	5.295784509	7.328232747	4.231393347	8.22187248	5.368786147	4.046735171	2.053913008	10.10231274	7.626633402	3.930513296	3.768403344	5.595296292	6.400771036	-2.214200745	6.337666147	7.52476641	6.879631699	4.989335207	6.167744375	7.19702599	4.518167676	9.794969682	4.667092811	7.325658099	5.800720797	5.889695093	5.398020696	6.331538129	3.674847056	5.845996898	5.113287267	6.170456206	3053	CTR
3.648582733	2.657740505	5.317705658	5.87209894	6.386512808	6.85499125	5.365215449	10.46984249	3.262875041	4.750916035	3.780905482	5.35677459	4.114313631	7.344484782	9.155128515	7.304243904	5.679930284	10.44734045	7.783752306	4.559018771	3.086518735	7.66267422	4.648938186	5.43263119	4.183543237	7.418467986	6.070205112	4.37391809	4.562868104	6.56146852	5.82444306	5.400243041	7.178620683	6.164448013	5.595763685	6.798945233	6.988978632	8.487759775	8.044745033	4.833866225	7.061822225	3.54403674	7.05496989	7.10928384	7.493048768	-1.322978838	3.078087441	6.005903945	7.713031422	2.385171434	7.12712639	10.15615273	2.21101798	6.48808053	5.692927151	9.603871636	6.907409344	6.68710771	8.256198569	6.41294388	8.86915025	7.645590115	8.269723376	6.122250831	5.995752534	6.869363771	3.974577337	7.863420193	5.607112403	4.353666121	1.84210568	9.995227587	7.822012007	3.730993727	4.640896145	6.387113743	7.287316599	-1.970652953	6.149237861	7.607133819	6.860470057	4.51218958	5.481872594	7.171331328	3.70460003	9.611042494	4.290996574	5.237789285	6.22028226	6.631583964	4.947521632	6.668886662	3.952432633	6.259061129	4.166682901	4.205675438	3055	CTR
3.93615722	2.325202956	5.430868515	6.499848684	6.463401958	6.417565031	5.387756803	10.17013723	3.372803439	4.800397692	3.735420717	3.433211213	4.903559709	7.319530526	9.370485756	7.348004475	6.029484978	10.01785499	7.796833531	4.762564957	2.929884544	8.039127171	3.694246205	5.47875415	3.855287753	7.11311548	6.366972527	3.777082753	4.437506638	6.898989359	5.842620488	5.816878374	6.529279182	6.114235918	5.710140851	6.965741611	7.022751961	8.453989568	8.415748695	4.541231396	7.072466461	-0.441940294	6.559631707	7.051974791	7.376833551	-0.446998922	3.285870103	4.947521632	7.822012007	1.734535621	7.222337204	10.68443669	2.617395892	6.254606233	5.703176637	9.734751584	6.646342459	6.589304795	8.314144727	6.473352286	9.179905589	7.455794093	8.528611062	5.77551609	6.270249577	6.68080886	3.965301665	7.829355549	5.589859749	4.328498324	1.966800145	9.972860471	7.835431472	3.522949992	4.604565691	4.717251205	7.344484782	-3.389429758	5.697620511	7.560909051	6.852217111	5.420190794	5.573054682	6.641457959	3.960742898	9.556523569	3.674847056	5.107280439	6.13835741	6.566246134	4.92536772	6.54116988	3.701171958	6.342735366	4.240696149	4.656934668	3057	CTR
