iter	Passed	Remaining
0	4	4163
1	5	2764
2	6	2109
3	7	1968
4	8	1709
5	9	1575
6	10	1524
7	11	1378
8	11	1272
9	11	1179
10	12	1105
11	12	1041
12	13	988
13	13	941
14	13	901
15	14	866
16	14	835
17	15	827
18	15	802
19	15	778
20	16	757
21	17	773
22	17	756
23	18	741
24	18	733
25	19	718
26	19	705
27	19	692
28	20	686
29	20	675
30	21	665
31	21	655
32	22	646
33	22	635
34	23	651
35	24	646
36	24	637
37	24	628
38	25	620
39	25	613
40	25	606
41	26	599
42	26	591
43	26	585
44	27	579
45	27	573
46	28	568
47	28	572
48	29	567
49	29	562
50	30	568
51	30	564
52	31	561
53	32	562
54	32	557
55	32	552
56	33	548
57	33	544
58	33	541
59	34	538
60	34	535
61	35	531
62	35	527
63	35	525
64	36	530
65	37	527
66	37	528
67	39	538
68	40	544
69	41	549
70	48	632
71	49	642
72	50	642
73	52	655
74	52	653
75	53	651
76	54	649
77	54	648
78	55	647
79	56	651
80	57	657
81	58	655
82	60	664
83	61	669
84	62	668
85	62	667
86	63	669
87	64	672
88	66	679
89	67	681
90	68	685
91	69	686
92	70	690
93	72	695
94	73	698
95	73	696
96	74	696
97	75	692
98	76	693
99	76	689
100	77	685
101	77	681
102	78	680
103	78	677
104	79	673
105	79	671
106	79	667
107	81	674
108	82	676
109	83	677
110	84	673
111	84	669
112	84	666
113	85	662
114	85	659
115	86	658
116	86	654
117	87	650
118	87	646
119	88	647
120	88	646
121	89	646
122	91	654
123	93	657
124	94	659
125	95	659
126	96	662
127	97	661
128	97	661
129	98	658
130	98	654
131	99	651
132	99	648
133	100	649
134	100	646
135	101	643
136	101	640
137	102	641
138	103	638
139	103	637
140	104	635
141	104	632
142	105	630
143	105	627
144	105	624
145	106	622
146	106	619
147	107	616
148	107	614
149	108	615
150	109	616
151	110	614
152	110	611
153	110	608
154	111	606
155	111	603
156	111	600
157	112	598
158	112	595
159	113	593
160	113	590
161	114	590
162	114	588
163	114	585
164	115	586
165	116	584
166	116	582
167	117	580
168	117	578
169	117	576
170	118	573
171	118	572
172	119	570
173	119	568
174	120	566
175	120	564
176	120	562
177	121	559
178	121	557
179	122	556
180	122	554
181	122	552
182	123	550
183	123	548
184	124	546
185	124	544
186	124	542
187	125	540
188	125	538
189	125	536
190	126	534
191	126	534
192	127	532
193	127	531
194	128	531
195	129	530
196	129	528
197	130	528
198	130	526
199	131	524
200	131	522
201	131	521
202	132	520
203	132	518
204	133	516
205	133	514
206	133	513
207	135	514
208	135	513
209	136	511
210	136	510
211	136	508
212	137	507
213	137	505
214	138	504
215	138	502
216	138	501
217	139	499
218	139	497
219	140	497
220	140	496
221	141	494
222	141	494
223	142	494
224	144	497
225	145	498
226	146	500
227	147	500
228	148	499
229	148	497
230	149	498
231	150	497
232	150	495
233	150	494
234	151	492
235	151	491
236	152	489
237	152	488
238	152	486
239	153	485
240	153	483
241	155	486
242	156	486
243	157	486
244	157	485
245	158	485
246	158	483
247	159	482
248	159	480
249	159	479
250	160	478
251	160	477
252	161	475
253	161	474
254	161	472
255	163	474
256	163	473
257	164	472
258	164	470
259	164	469
260	165	468
261	165	466
262	166	465
263	166	464
264	167	463
265	167	461
266	168	461
267	168	460
268	169	459
269	169	458
270	170	458
271	170	457
272	171	455
273	171	455
274	172	454
275	172	453
276	173	452
277	173	450
278	173	449
279	174	448
280	174	447
281	175	445
282	175	445
283	176	443
284	177	444
285	177	443
286	177	442
287	178	440
288	178	439
289	179	438
290	179	437
291	179	435
292	180	434
293	180	433
294	180	432
295	181	430
296	181	429
297	182	429
298	182	428
299	183	428
300	184	427
301	184	426
302	185	426
303	185	425
304	186	424
305	186	423
306	187	423
307	188	424
308	191	427
309	192	427
310	193	428
311	194	428
312	195	428
313	196	429
314	197	429
315	198	429
316	198	428
317	199	427
318	199	426
319	200	425
320	200	424
321	201	423
322	201	422
323	202	421
324	202	420
325	202	419
326	203	418
327	203	417
328	204	417
329	205	416
330	205	415
331	205	414
332	206	413
333	206	412
334	207	410
335	207	409
336	207	408
337	208	407
338	208	406
339	208	405
340	209	404
341	210	404
342	210	403
343	211	402
344	211	402
345	212	401
346	213	401
347	213	400
348	214	399
349	214	398
350	215	397
351	215	396
352	215	395
353	216	394
354	216	393
355	217	392
356	218	393
357	218	392
358	219	391
359	219	390
360	219	389
361	220	388
362	220	387
363	220	386
364	221	384
365	221	383
366	222	382
367	222	381
368	222	380
369	223	380
370	224	379
371	224	379
372	225	379
373	226	378
374	226	377
375	227	376
376	227	375
377	227	374
378	228	373
379	228	372
380	228	372
381	229	371
382	229	370
383	230	369
384	230	368
385	230	367
386	231	367
387	232	366
388	232	365
389	233	364
390	233	364
391	234	363
392	234	362
393	235	362
394	236	362
395	237	362
396	238	362
397	239	362
398	241	363
399	242	363
400	243	363
401	244	363
402	244	362
403	245	361
404	246	362
405	247	361
406	247	360
407	247	359
408	248	358
409	248	357
410	249	356
411	249	355
412	249	355
413	250	354
414	250	353
415	251	353
416	251	352
417	252	351
418	252	350
419	253	350
420	254	349
421	254	348
422	255	348
423	255	347
424	256	346
425	256	345
426	256	344
427	257	343
428	257	342
429	257	341
430	258	341
431	258	340
432	259	340
433	260	339
434	260	338
435	260	337
436	261	336
437	261	335
438	262	334
439	262	334
