iter	Logloss
0	0.6915162404
1	0.6896077792
2	0.687414964
3	0.6848781904
4	0.6831796169
5	0.6815800667
6	0.6794667244
7	0.6776099205
8	0.6756819884
9	0.6736593246
10	0.671721379
11	0.6698888143
12	0.6681011518
13	0.6663402716
14	0.6644838651
15	0.663009723
16	0.6609988213
17	0.6592394511
18	0.6574610074
19	0.6558368603
20	0.654081583
21	0.6524276733
22	0.6507778565
23	0.6492060423
24	0.6475821336
25	0.6460047563
26	0.6442615191
27	0.6422375043
28	0.6401876211
29	0.6381589572
30	0.6363233725
31	0.6346209049
32	0.6327765783
33	0.6312925418
34	0.6297590733
35	0.6277810733
36	0.6260689894
37	0.6247417132
38	0.6232994397
39	0.621734341
40	0.6202069918
41	0.6183648109
42	0.6170941194
43	0.6154529651
44	0.6140048901
45	0.6124142011
46	0.6108722687
47	0.6091787418
48	0.6079396407
49	0.6064779361
50	0.6049983899
51	0.6034395297
52	0.6018707752
53	0.6005471945
54	0.5991065502
55	0.5972394943
56	0.5956523418
57	0.5940860113
58	0.5926047166
59	0.5910018682
60	0.5892004172
61	0.5871345202
62	0.5857139428
63	0.5840889613
64	0.582644701
65	0.580924352
66	0.5792300304
67	0.5779997905
68	0.5765833855
69	0.575223724
70	0.5740778049
71	0.572665453
72	0.5711739461
73	0.5692168474
74	0.5677935282
75	0.5662548145
76	0.5647624334
77	0.5635121663
78	0.5621138811
79	0.560753266
80	0.5594448249
81	0.558197697
82	0.5569532315
83	0.5554005305
84	0.5537817478
85	0.5521292686
86	0.5507411957
87	0.5492645105
88	0.5478350719
89	0.5464775165
90	0.5452610254
91	0.5439508756
92	0.5427194436
93	0.541271925
94	0.5400925477
95	0.5388975143
96	0.5377653837
97	0.5364872615
98	0.5350790421
99	0.5338837306
100	0.5327721437
101	0.5311130285
102	0.5297173659
103	0.5283641815
104	0.5271331469
105	0.5258489847
106	0.5243589878
107	0.5231251717
108	0.5217293104
109	0.5206378698
110	0.519413511
111	0.5182814598
112	0.5168238481
113	0.5155452092
114	0.5141611894
115	0.512983799
116	0.5117342472
117	0.5104940732
118	0.5093910694
119	0.5082790852
120	0.5070920785
121	0.5058362484
122	0.5045221647
123	0.503456672
124	0.5022642612
125	0.5012013912
126	0.4999450048
127	0.4989778996
128	0.497579217
129	0.4962606033
130	0.4952632189
131	0.4939689239
132	0.4927722613
133	0.4915915728
134	0.4904497067
135	0.4889564117
136	0.4875910282
137	0.4866832495
138	0.4855523904
139	0.4847028255
140	0.4837086598
141	0.4826242129
142	0.4819302162
143	0.4808093309
144	0.4795631965
145	0.4782689015
146	0.477162838
147	0.4755783081
148	0.4745231469
149	0.4733572801
150	0.4723366499
151	0.4712531567
152	0.4701062441
153	0.4690220356
154	0.4678616126
155	0.4668916861
156	0.4656335115
157	0.4646261533
158	0.4632822673
159	0.4624187152
160	0.4613244931
161	0.4602345228
162	0.4593425194
163	0.4581354856
164	0.4569329421
165	0.4558445215
166	0.4549380143
167	0.4539895455
168	0.4528190295
169	0.4519213835
170	0.4510315259
171	0.4500177304
172	0.4490001599
173	0.4479167461
174	0.4467975299
