iter	Passed	Remaining
0	1	179
1	3	164
2	4	156
3	6	153
4	8	162
5	10	163
6	12	163
7	14	165
8	16	169
9	18	165
10	20	162
11	21	158
12	23	156
13	25	156
14	27	154
15	29	154
16	31	152
17	33	153
18	35	150
19	37	148
20	38	146
21	41	145
22	42	143
23	44	141
24	46	140
25	49	139
26	50	137
27	52	134
28	54	132
29	56	131
30	58	129
31	60	127
32	62	126
33	64	124
34	65	122
35	67	120
36	69	117
37	70	115
38	72	114
39	74	112
40	76	110
41	78	108
42	80	106
43	82	104
44	83	102
45	85	100
46	87	98
47	89	97
48	91	95
49	93	93
50	96	92
51	98	90
52	99	88
53	101	86
54	103	84
55	105	82
56	107	80
57	109	79
58	111	77
59	113	75
60	115	73
61	116	71
62	118	69
63	120	67
64	122	65
65	124	63
66	126	62
67	128	60
68	129	58
69	131	56
70	133	54
71	134	52
72	136	50
73	138	48
74	140	46
75	142	44
76	144	43
77	146	41
78	148	39
79	149	37
80	151	35
81	153	33
82	155	31
83	157	30
84	159	28
85	161	26
86	163	24
87	164	22
88	166	20
89	168	18
90	170	16
91	172	14
92	174	13
93	176	11
94	177	9
95	178	7
96	180	5
97	182	3
98	184	1
99	186	0
