Gene,Count
ENST00000446033,53
ENST00000483001,44
ENST00000374176,42
ENST00000619682,41
ENST00000486777,37
ENST00000298317,32
ENST00000409224,31
ENST00000611977,30
ENST00000379446,29
ENST00000252951,28
ENST00000484279,28
ENST00000472481,28
ENST00000514815,27
ENST00000298428,27
ENST00000368720,27
ENST00000356708,26
ENST00000373606,26
ENST00000514062,26
ENST00000529713,26
ENST00000431350,25
ENST00000647841,24
ENST00000624234,24
ENST00000494302,23
ENST00000362698,23
ENST00000425184,22
ENST00000636319,22
ENST00000507126,22
ENST00000649814,21
ENST00000453515,21
ENST00000468234,18
ENST00000570209,17
ENST00000463634,17
ENST00000395496,17
ENST00000379158,17
ENST00000262746,17
ENST00000645860,16
ENST00000519295,16
ENST00000325542,15
ENST00000373064,15
ENST00000452421,15
ENST00000380265,15
ENST00000293842,15
ENST00000579456,15
ENST00000591566,15
ENST00000445177,14
ENST00000490311,14
ENST00000239007,14
ENST00000329908,13
ENST00000383374,13
ENST00000359595,13
ENST00000320865,13
ENST00000489671,13
ENST00000391141,13
ENST00000620739,12
ENST00000532317,12
ENST00000591595,12
ENST00000399928,12
ENST00000429892,11
ENST00000297183,11
ENST00000650479,11
ENST00000356891,11
ENST00000531904,10
ENST00000294256,10
ENST00000640391,9
ENST00000360526,9
ENST00000564468,9
ENST00000434009,9
ENST00000357375,8
ENST00000461564,8
ENST00000558197,8
ENST00000611869,7
ENST00000549518,7
ENST00000343106,7
ENST00000533927,6
ENST00000596378,6
ENST00000442664,6
ENST00000285896,6
ENST00000473243,6
ENST00000343137,6
ENST00000553289,6
ENST00000392717,6
ENST00000541639,5
ENST00000480319,5
ENST00000530271,5
ENST00000427180,5
ENST00000381724,4
ENST00000511980,4
ENST00000392564,4
ENST00000221957,4
ENST00000269122,4
ENST00000613865,4
ENST00000481445,3
ENST00000399850,3
ENST00000358502,3
ENST00000401030,3
ENST00000566718,3
ENST00000554367,2
ENST00000521086,1
ENST00000377685,1
ENST00000529982,1
