Gene,Count
ENST00000446033,576
ENST00000483001,488
ENST00000619682,436
ENST00000374176,413
ENST00000486777,338
ENST00000514062,329
ENST00000298317,301
ENST00000409224,296
ENST00000252951,276
ENST00000472481,266
ENST00000379446,266
ENST00000298428,266
ENST00000373606,261
ENST00000570209,258
ENST00000484279,254
ENST00000368720,250
ENST00000611977,246
ENST00000507126,244
ENST00000624234,239
ENST00000514815,230
ENST00000356708,227
ENST00000649814,224
ENST00000529713,221
ENST00000425184,219
ENST00000463634,214
ENST00000494302,208
ENST00000431350,206
ENST00000320865,204
ENST00000636319,196
ENST00000452421,192
ENST00000395496,183
ENST00000262746,182
ENST00000591566,177
ENST00000362698,173
ENST00000647841,168
ENST00000380265,167
ENST00000490311,166
ENST00000519295,165
ENST00000325542,160
ENST00000379158,157
ENST00000579456,147
ENST00000329908,146
ENST00000445177,145
ENST00000645860,136
ENST00000564468,134
ENST00000591595,131
ENST00000468234,127
ENST00000383374,125
ENST00000373064,123
ENST00000293842,122
ENST00000297183,121
ENST00000294256,120
ENST00000453515,119
ENST00000359595,116
ENST00000531904,114
ENST00000399928,113
ENST00000391141,110
ENST00000489671,108
ENST00000620739,107
ENST00000357375,97
ENST00000532317,92
ENST00000434009,92
ENST00000558197,92
ENST00000429892,91
ENST00000473243,89
ENST00000553289,85
ENST00000356891,85
ENST00000392717,84
ENST00000611869,84
ENST00000239007,83
ENST00000549518,81
ENST00000360526,80
ENST00000442664,80
ENST00000285896,79
ENST00000650479,78
ENST00000461564,70
ENST00000401030,69
ENST00000613865,68
ENST00000640391,67
ENST00000392564,62
ENST00000530271,61
ENST00000566718,53
ENST00000343137,50
ENST00000480319,50
ENST00000343106,50
ENST00000533927,49
ENST00000427180,48
ENST00000381724,48
ENST00000554367,47
ENST00000481445,46
ENST00000399850,45
ENST00000358502,43
ENST00000596378,43
ENST00000221957,38
ENST00000541639,36
ENST00000529982,36
ENST00000269122,35
ENST00000511980,31
ENST00000346178,30
ENST00000377685,19
ENST00000521086,17
ENST00000543926,11
